doctor profession onktk
singular number relationStatus
bottle nonliving container
illuminate verb light
invitation noun weddding
rain wet sky
book read story
face smile eyes
game fun play
tree green leaves
dance groove disco
funny haha hilarious
sleepy coffee pillow
fish swim water
lamborghini wheels drive
rythm noun literature
bangabandhu name bengali
popcorn food cinema
barbie uss pink
bazinga exclamation sheldon
worm wiggle dirt
jelly sweet jiggle
cactus prickly desert
whisper secret quiet
butterfly wings flower
whisk cook batter
bluewhale ocean game
glowworm light bug
dracula blood hunt
whistleblower secret expose
razmatazz noun showiness
transplant sugery change
mannequin nonliving doll
steganography cryptography image
quad four toomuch
mnemonic memory trick
xylophone wooden mallet
stoic calm unemotional
juggernaut xmen unstoppable
bibliophile lover book
ephemeral fleeting temporary
papyrus ancient egypt
quintessential typical example
enigma mystery puzzle
decorum manners formality
